dataset,version,metric,parameter,mode,qwen2.5-1.5b-instruct-hf,test,测试
ceval-computer_network,db9ce2,accuracy,文本问答,gen,68.42,63.41,24.37
ceval-operating_system,1c2571,accuracy,文本问答,gen,52.63,63.18,70.54
ceval-computer_architecture,a74dad,accuracy,文本问答,gen,76.19,7,14.03
ceval-college_programming,4ca32a,accuracy,文本问答,gen,70.27,47.06,11
ceval-college_physics,963fa8,accuracy,文本问答,gen,42.11,48.41,57
ceval-college_chemistry,e78857,accuracy,文本问答,gen,41.67,83.79,95
ceval-advanced_mathematics,ce03e2,accuracy,文本问答,gen,21.05,51.76,73
ceval-probability_and_statistics,65e812,accuracy,文本问答,gen,27.78,70,35
ceval-discrete_mathematics,e894ae,accuracy,文本问答,gen,43.75,9,33.22
ceval-electrical_engineer,ae42b9,accuracy,文本问答,gen,56.76,71.13,99.09
ceval-metrology_engineer,ee34ea,accuracy,文本问答,gen,87.5,8,3.01
ceval-high_school_mathematics,1dc5bf,accuracy,文本问答,gen,22.22,25.67,41
ceval-high_school_physics,adf25f,accuracy,文本问答,gen,84.21,81,91
ceval-high_school_chemistry,2ed27f,accuracy,文本问答,gen,52.63,73.62,11.38
ceval-high_school_biology,8e2b9a,accuracy,文本问答,gen,68.42,39,45
ceval-middle_school_mathematics,bee8d5,accuracy,文本问答,gen,57.89,84.65,86
ceval-middle_school_biology,86817c,accuracy,文本问答,gen,90.48,48,67.29
ceval-middle_school_physics,8accf6,accuracy,文本问答,gen,89.47,17.77,91
ceval-middle_school_chemistry,167a15,accuracy,文本问答,gen,95,89.64,10.6
ceval-veterinary_medicine,b4e08d,accuracy,文本问答,gen,73.91,50,100
ceval-college_economics,f3f4e6,accuracy,文本问答,gen,48,70.12,96
ceval-business_administration,c1614e,accuracy,文本问答,gen,54.55,79,8
ceval-marxism,cf874c,accuracy,文本问答,gen,78.95,68,0
ceval-mao_zedong_thought,51c7a4,accuracy,文本问答,gen,87.5,98,64.04
ceval-education_science,591fee,accuracy,文本问答,gen,79.31,73,77.73
ceval-teacher_qualification,4e4ced,accuracy,文本问答,gen,88.64,12,64
ceval-high_school_politics,5c0de2,accuracy,文本问答,gen,78.95,99.68,71
ceval-high_school_geography,865461,accuracy,文本问答,gen,73.68,61,77
ceval-middle_school_politics,5be3e7,accuracy,文本问答,gen,85.71,80.36,9
ceval-middle_school_geography,8a63be,accuracy,文本问答,gen,91.67,95,53
ceval-modern_chinese_history,fc01af,accuracy,文本问答,gen,86.96,59,22
ceval-ideological_and_moral_cultivation,a2aa4a,accuracy,文本问答,gen,100,11.74,24.88
ceval-logic,f5b022,accuracy,文本问答,gen,59.09,48,35
ceval-law,a110a1,accuracy,文本问答,gen,45.83,24.88,76.95
ceval-chinese_language_and_literature,0f8b68,accuracy,文本问答,gen,47.83,1,22
ceval-art_studies,2a1300,accuracy,文本问答,gen,63.64,55.34,46.86
ceval-professional_tour_guide,4e673e,accuracy,文本问答,gen,79.31,94.46,84
ceval-legal_professional,ce8787,accuracy,文本问答,gen,56.52,8,84
ceval-high_school_chinese,315705,accuracy,文本问答,gen,36.84,89.98,100
ceval-high_school_history,7eb30a,accuracy,文本问答,gen,70,44,64.99
ceval-middle_school_history,48ab4a,accuracy,文本问答,gen,90.91,41,72.05
ceval-civil_servant,87d061,accuracy,文本问答,gen,57.45,19.71,42
ceval-sports_science,70f27b,accuracy,文本问答,gen,68.42,42.89,14.14
ceval-plant_protection,8941f9,accuracy,文本问答,gen,59.09,34.44,47.2
ceval-basic_medicine,c409d6,accuracy,文本问答,gen,73.68,67,21
ceval-clinical_medicine,49e82d,accuracy,文本问答,gen,59.09,15,6
ceval-urban_and_rural_planner,95b885,accuracy,文本问答,gen,63.04,40,81.83
ceval-accountant,2837,accuracy,文本问答,gen,65.31,64,39
ceval-fire_engineer,bc23f5,accuracy,文本问答,gen,67.74,46.53,9.11
ceval-environmental_impact_assessment_engineer,c64e2d,accuracy,文本问答,gen,64.52,95,57
ceval-tax_accountant,3a5e3c,accuracy,文本问答,gen,61.22,63,92
ceval-physician,6e277d,accuracy,文本问答,gen,71.43,73,31
WiC,d06864,accuracy,文本分类,gen,54,58,26.77
afqmc-dev,901306,accuracy,test,gen,66,36,5
GaokaoBench_2010-2022_Math_II_MCQs,5b0b29,score,文本问答,gen,66,44,83.45
GaokaoBench_2010-2022_Math_I_MCQs,5b0b29,score,文本问答,gen,56,25,2.6
GaokaoBench_2010-2022_History_MCQs,3613b5,score,文本问答,gen,58,28.98,89.9
GaokaoBench_2010-2022_Biology_MCQs,d26e80,score,文本问答,gen,62,24,36.95
GaokaoBench_2010-2022_Political_Science_MCQs,70fce9,score,文本问答,gen,78,85.72,20.99
GaokaoBench_2010-2022_Physics_MCQs,8a0c30,score,文本问答,gen,25,93,73
GaokaoBench_2010-2022_Chemistry_MCQs,852bbd,score,文本问答,gen,24,79.52,29
GaokaoBench_2010-2013_English_MCQs,01b50f,score,文本问答,gen,68,69,99.95
GaokaoBench_2010-2022_Chinese_Modern_Lit,e19c31,score,文本问答,gen,41.38,98.35,87
GaokaoBench_2010-2022_English_Fill_in_Blanks,924021,score,文本问答,gen,39.67,91,44.02
GaokaoBench_2012-2022_English_Cloze_Test,11f6ce,score,文本问答,gen,19.23,98,19
GaokaoBench_2010-2022_Geography_MCQs,862192,score,文本问答,gen,55.79,31,40.92
GaokaoBench_2010-2022_English_Reading_Comp,ffdef4,score,文本问答,gen,61.66,7.14,73.54
GaokaoBench_2010-2022_Chinese_Lang_and_Usage_MCQs,ba10b2,score,文本问答,gen,32.26,77,26
GaokaoBench_2010-2022_Math_I_Fill-in-the-Blank,9dd6c7,score,文本问答,gen,0,36,39.14
GaokaoBench_2010-2022_Math_II_Fill-in-the-Blank,9dd6c7,score,文本问答,gen,0,70.75,6.64
GaokaoBench_2010-2022_Chinese_Language_Famous_Passages_and_Sentences_Dictation,58053d,score,文本问答,gen,0,99.58,99.21
GaokaoBench_2014-2022_English_Language_Cloze_Passage,d431f7,score,文本问答,gen,0,32.7,98
GaokaoBench_2010-2022_Geography_Open-ended_Questions,475d13,score,文本问答,gen,0,23.74,80
GaokaoBench_2010-2022_Chemistry_Open-ended_Questions,0bccc3,score,文本问答,gen,0,97.51,47
GaokaoBench_2010-2022_Math_I_Open-ended_Questions,8a0cf5,score,文本问答,gen,0,20,68.44
GaokaoBench_2010-2022_History_Open-ended_Questions,9fbad8,score,文本问答,gen,0,60.76,22.18
GaokaoBench_2010-2022_Biology_Open-ended_Questions,e0cb29,score,文本问答,gen,0,83,24.29
GaokaoBench_2010-2022_Math_II_Open-ended_Questions,8a0cf5,score,文本问答,gen,0,20,60
GaokaoBench_2010-2022_Physics_Open-ended_Questions,423d19,score,文本问答,gen,0,95,22.0
GaokaoBench_2010-2022_Political_Science_Open-ended_Questions,0eee0a,score,文本问答,gen,0,19.38,78.45
GaokaoBench_2012-2022_English_Language_Error_Correction,6a3cae,score,文本问答,gen,0,7.85,0
GaokaoBench_2010-2022_Chinese_Language_Ancient_Poetry_Reading,ee6cc7,score,文本问答,gen,0,5,82
GaokaoBench_2010-2022_Chinese_Language_Practical_Text_Reading,4dea5a,score,文本问答,gen,0,47.06,93
GaokaoBench_2010-2022_Chinese_Language_Literary_Text_Reading,979d8b,score,文本问答,gen,0,59,9.08
GaokaoBench_2010-2022_Chinese_Language_Classical_Chinese_Reading,9de717,score,文本问答,gen,0,25,82
GaokaoBench_2010-2022_Chinese_Language_Language_and_Writing_Skills_Open-ended_Questions,d2ed84,score,文本问答,gen,0,47.83,69.57
tydiqa-goldp_arabic,3d688e,f1,文本问答,gen,38.17,0,20
tydiqa-goldp_arabic,3d688e,exact_match,文本问答,gen,6,43.82,23
tydiqa-goldp_bengali,ed3379,f1,文本问答,gen,21.23,16.07,16.55
tydiqa-goldp_bengali,ed3379,exact_match,文本问答,gen,0,80.85,13
tydiqa-goldp_english,38da40,f1,文本问答,gen,12.69,55,13.72
tydiqa-goldp_english,38da40,exact_match,文本问答,gen,0,17.86,80
tydiqa-goldp_finnish,4adb40,f1,文本问答,gen,17.63,85,76
tydiqa-goldp_finnish,4adb40,exact_match,文本问答,gen,0,69.02,29
tydiqa-goldp_indonesian,7b2a2a,f1,文本问答,gen,22.71,51,60
tydiqa-goldp_indonesian,7b2a2a,exact_match,文本问答,gen,8,76,75
tydiqa-goldp_japanese,8e7cb9,f1,文本问答,gen,2,78,3.58
tydiqa-goldp_japanese,8e7cb9,exact_match,文本问答,gen,2,86,70.61
tydiqa-goldp_korean,5be5b3,f1,文本问答,gen,23.62,13,57
tydiqa-goldp_korean,5be5b3,exact_match,文本问答,gen,12,45.04,33
tydiqa-goldp_russian,4070c2,f1,文本问答,gen,18.9,24,47.24
tydiqa-goldp_russian,4070c2,exact_match,文本问答,gen,4,58,75.48
tydiqa-goldp_swahili,97110f,f1,文本问答,gen,6.35,34.92,93.21
tydiqa-goldp_swahili,97110f,exact_match,文本问答,gen,0,31.08,33
tydiqa-goldp_telugu,df948c,f1,文本问答,gen,2.2,96,63
tydiqa-goldp_telugu,df948c,exact_match,文本问答,gen,0,1,19
tydiqa-goldp_thai,3e6b28,f1,文本问答,gen,30.41,23.56,14
tydiqa-goldp_thai,3e6b28,exact_match,文本问答,gen,0,54.75,22.69
triviaqa,2121ce,score,文本问答,gen,42,4.63,26.92
nq,c788f6,score,文本问答,gen,18,73.51,80
C3,8c358f,accuracy,test,gen,80,43,61.69
race-middle,9a54b6,accuracy,长文本理解,gen,88,,88,77
race-high,9a54b6,accuracy,长文本理解,gen,82,,8,15.49
lcsts,8ee1fe,rouge1,摘要总结,gen,17.98,98,60.41
lcsts,8ee1fe,rouge2,摘要总结,gen,5.83,39.14,34
lcsts,8ee1fe,rougeL,摘要总结,gen,15.36,4.18,11
Xsum,31397e,rouge1,摘要总结,gen,22.11,11,18.38
Xsum,31397e,rouge2,摘要总结,gen,4.66,67,100
Xsum,31397e,rougeL,摘要总结,gen,14.41,2,68
Xsum,31397e,rougeLsum,摘要总结,gen,14.44,70.0,27
lambada,2.17E+13,accuracy,常识推理,gen,32,47.98,87.17
COPA,91ca53,accuracy,文本分类,gen,70,27,2
ReCoRD,30dea0,score,文本分类,gen,28,75.73,36
math,393424,accuracy,数学推理,gen,40,70,22
gsm8k,1d7fe4,accuracy,数学推理,gen,62,11.5,0
drop,8a9ed9,score,长文本理解,gen,48,,58.15,51.21
mbpp,1e1056,score,代码生成,gen,42,51,15
mbpp,1e1056,pass,代码生成,gen,21,11.13,11.63
mbpp,1e1056,timeout,代码生成,gen,0,41,36
mbpp,1e1056,failed,代码生成,gen,7,21.82,81.06
mbpp,1e1056,wrong_answer,代码生成,gen,22,79,13.82
bbh-temporal_sequences,e43931,score,代码理解,gen,20,54,97.45
bbh-disambiguation_qa,d52c61,score,代码理解,gen,36,16,84
